name_en,name_de
Can be eaten raw,Kann man roh essen
Has corners,Hat Ecken
Can be found in the hospital,Findet man im Krankenhaus
Can be found in a tree,Findet man auf dem Baum
A vacation destination,Ein Urlaubsziel
A superpower,Eine Superkraft
Can be baked,Kann man backen
A reality TV format,Ein Reality-TV-Format
A person over 40,Eine Person über 40
I do this during vacation,Mache ich in den Ferien
Can be bought on Amazon,Kann man bei Amazon kaufen
Can be found in a hardware store,Findet man im Baumarkt
Can be found in a pet store,Findet man in der Tierhandlung
A sex position,Eine Sexposition
A place for sex,Ein Ort für Sex
A fictional character,Eine fiktive Figur
Can be learned,Kann man lernen
Not vegan,Nicht vegan
A restaurant chain,Eine Restaurantkette
An athlete,Sportlerin oder Sportler
A place to buy drugs,Ein Ort um Drogen zu kaufen
A crime,Eine Straftat
A date idea,Dateidee
A ministry,Ein Ministerium
Can be found in the car,Findet man im Auto
A writer,Schriftstellerin oder Schriftsteller
A cocktail,Ein Cocktail
An adjective,Ein Adjektiv
A verb,Ein Verb
A noun,Ein Nomen
I would take this to a deserted island,Nehme ich mit auf eine einsame Insel
I would buy this with a lottery win,Kaufe ich vom Lottogewinn
A fear of,Angst vor
Fits in the mouth,Passt in den Mund
Is healthy,Ist gesund
Is unhealthy,Ist ungesund
A porn category,Pornokategorie
Synonyms for masturbating,Synonyme für masturbieren
A newspaper,Eine Zeitung
A feeling,Ein Gefühl
Is creepy,Ist gruselig
Is disgusting,Ist ekelig
Is tasty,Ist lecker
A cosmetic item,Ein Kosmetikartikel
A party theme,Ein Partymotto
Does not belong in a cake,Gehört nicht in den Kuchen
A soccer club,Ein Fußballverein
Is soft,Ist weich
Is hard,Ist hart
Is liquid,Ist flüssig
Something green,Etwas Grünes
Something blue,Etwas Blaues
Something red,Etwas Rotes
Something yellow,Etwas Gelbes
Is pink,Ist rosa
A murder weapon,Eine Mordwaffe
An influencer,Influencerin oder Influencer
Can be found in a school backpack,Findet man im Schulranzen
A Disney movie,Ein Disney-Film
An airline,Eine Fluggesellschaft
At the Olympics,Bei Olympia
A tourist attraction,Eine Sehenswürdigkeit
A capital city,Eine Hauptstadt
From IKEA,Von IKEA
A country in Africa,Land in Afrika
A country in Asia,Land in Asien
A country in Europe,Land in Europa
A country in North or South America,Land in Nord- oder Südamerika
A state or federal state,Bundesstaat oder Bundesland
Can be found on the face,Findet man im Gesicht
A pizza topping,Ein Pizzabelag
Can be found on an airplane,Findet man im Flugzeug
Can be found at the airport,Findet man am Flughafen
A place for a first date,Ort für das erste Date
Everyone owns it,Besitzt jede Person
Synonyms for penis,Synonyme für Penis
A streaming service,Ein Streamingdienst
Can be found in the park,Findet man im Park
